"2020/07/30 16:47:38:327" "DEBUG  " "   Seq Log     " "Reached pos --> x: -88.83067, y: -344.2244, z: -6.378994, pitch: -62.132"
"2020/07/30 16:47:38:327" "DEBUG  " "   Seq Log     " "Check unit drop"
"2020/07/30 16:47:38:327" "DEBUG  " "   Seq Log     " "Head 1: vacuum on FALSE, analog 9802, pressure -1.08340708639815e-1"
"2020/07/30 16:47:38:327" "DEBUG  " "   Seq Log     " "Head 2: vacuum on TRUE, analog 3887, pressure -90.5652027954955"
"2020/07/30 16:47:38:327" "DEBUG  " "   Seq Log     " "Head 3: vacuum on FALSE, analog 9905, pressure 1.06662190618613"
"2020/07/30 16:47:38:327" "DEBUG  " "   Seq Log     " "Head 4: vacuum on FALSE, analog 9863, pressure 4.25733207190149e-1"
"2020/07/30 16:47:38:357" "DEBUG  " "   Seq Log     " "Pick Head 2 down"
"2020/07/30 16:47:38:553" "DEBUG  " "   Seq Log     " "Reached pos --> x: -87.99471, y: -344.2508, z: -15.524958, pitch: -62.1325"
"2020/07/30 16:47:39:063" "DEBUG  " "   Seq Log     " "Unit Count : 17589.0"
"2020/07/30 16:47:39:063" "DEBUG  " "   Seq Log     " "Pick Head 2 purge"
"2020/07/30 16:47:39:167" "DEBUG  " "   Seq Log     " "When Drop, Pick Head 2 purge 7.23136082033753kPa"
"2020/07/30 16:47:39:167" "DEBUG  " "   Seq Log     " "Z move to standby and pick heads cylinder up"
"2020/07/30 16:47:39:377" "DEBUG  " "   Seq Log     " "Reached pos --> x: -87.9955, y: -344.2327, z: -6.660834, pitch: -62.1325"
"2020/07/30 16:47:39:377" "DEBUG  " "   Seq Log     " "When Head Up, Pick Head 2 purge 8.11639759514145kPa"
"2020/07/30 16:47:39:377" "DEBUG  " "   Seq Log     " "Head 2 purge off"
"2020/07/30 16:47:39:497" "DEBUG  " "   Seq Log     " "Head 1: vacuum on FALSE, analog 9819, pressure -3.06711020233791e-1"
"2020/07/30 16:47:39:497" "DEBUG  " "   Seq Log     " "Head 2: vacuum on TRUE, analog 8705, pressure -17.1224097415082"
"2020/07/30 16:47:39:497" "DEBUG  " "   Seq Log     " "Head 3: vacuum on FALSE, analog 9902, pressure 7.4617755668811e-1"
"2020/07/30 16:47:39:497" "DEBUG  " "   Seq Log     " "Head 4: vacuum on FALSE, analog 9854, pressure 7.4770348216191e-2"
"2020/07/30 16:47:39:497" "DEBUG  " "   Seq Log     " "Place unit from standby to buffer lane 1 done"
"2020/07/30 16:47:39:497" "INFO   " " Queuing Event " "PickAndPlaceCompleted,PNB.CELL.B04.STANDBY.01,PNB.CELL.B04.LANE.01.TRAY.01.02,PNB.CELL.B04.HEAD.02,1,0,Gang 0 "
"2020/07/30 16:47:39:497" "DEBUG  " "   Seq Log     " "----------Buffered PickAndPlace Completed----------"
"2020/07/30 16:47:39:497" "INFO   " "Event to TA[1] " "PickAndPlaceCompleted,PNB.CELL.B04.STANDBY.01,PNB.CELL.B04.LANE.01.TRAY.01.02,PNB.CELL.B04.HEAD.02,1,0,Gang 0 "
"2020/07/30 16:47:39:513" "MESSAGE" "5.2.IR10       " "Pick And Place: Idle"
"2020/07/30 16:47:39:827" "INFO   " "Cmd from TA[1] " "PickAndPlace,PNB.CELL.B04.LANE.01.TRAY.02.02,PNB.CELL.B04.STANDBY.01,PNB.CELL.B04.HEAD.01,1,0,"
"2020/07/30 16:47:39:827" "DEBUG  " "   Seq Log     " "PicknPlace buffer queue count 1 added: "
"2020/07/30 16:47:39:827" "DEBUG  " "   Seq Log     " " +PNB.CELL.B04.LANE.01.TRAY.02.02"
"2020/07/30 16:47:39:827" "DEBUG  " "   Seq Log     " " +PNB.CELL.B04.STANDBY.01"
"2020/07/30 16:47:39:827" "DEBUG  " "   Seq Log     " " +PNB.CELL.B04.HEAD.01"
"2020/07/30 16:47:39:827" "DEBUG  " "   Seq Log     " " +Retry: FALSE"
"2020/07/30 16:47:39:827" "DEBUG  " "   Seq Log     " "Processing one PickAndPlace buffer from total 1 queue: "
"2020/07/30 16:47:39:827" "DEBUG  " "   Seq Log     " " -PNB.CELL.B04.LANE.01.TRAY.02.02"
"2020/07/30 16:47:39:827" "DEBUG  " "   Seq Log     " " -PNB.CELL.B04.STANDBY.01"
"2020/07/30 16:47:39:827" "DEBUG  " "   Seq Log     " " -PNB.CELL.B04.HEAD.01"
"2020/07/30 16:47:39:827" "DEBUG  " "   Seq Log     " " -Retry: FALSE"
"2020/07/30 16:47:39:827" "DEBUG  " "   Seq Log     " "--------Buffered PicknPlace Started with retry FALSE--------"
